task,horizon,local_model,global_model,fold,ticker,n,local_primary,global_primary,global_improvement_vs_local_pct,test_start,test_end
classification,1,logistic,logistic,2,PETR4.SA,243,0.6981503431865916,0.688406886278152,1.3956101294697054,2022-10-04,2023-09-22
classification,1,logistic,logistic,2,SPY,244,0.6991931730861368,0.6951070084426139,0.5844114045746792,2022-10-04,2023-09-22
classification,1,logistic,logistic,2,VALE3.SA,243,0.6868570829670698,0.6964703133098468,-1.3995968857524086,2022-10-04,2023-09-22
classification,1,logistic,logistic,2,WEGE3.SA,243,0.6974351552723145,0.6963095425255907,0.1613931758694096,2022-10-04,2023-09-22
classification,1,logistic,logistic,3,AAPL,245,0.6990674038201101,0.6929865261634994,0.8698556996623286,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,BOVA11.SA,244,0.6965111372268008,0.6913855492121933,0.7358946240278827,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,ITUB4.SA,244,0.7067805761710269,0.6930651393498096,1.9405508984868265,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,JPM,245,0.692039869920321,0.6840972781778581,1.14770724747077,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,MSFT,245,0.6893551579943595,0.6904323108500874,-0.15625513833272298,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,NVDA,245,0.6904163894377735,0.6891995318565015,0.17624981096739517,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,PETR4.SA,244,0.6859942184320094,0.6945311622417589,-1.2444629386618777,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,SPY,245,0.6867012062310395,0.6870224051427641,-0.046774187785043136,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,VALE3.SA,243,0.6902834990146576,0.69651732820762,-0.9030824584190268,2023-09-25,2024-09-13
classification,1,logistic,logistic,3,WEGE3.SA,244,0.6926879987151484,0.6907213437098777,0.28391642542076906,2023-09-25,2024-09-13
classification,1,logistic,logistic,4,AAPL,245,0.6951930428513625,0.6929822429103715,0.3180123799748287,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,BOVA11.SA,244,0.6939761323266003,0.6940612707254092,-0.01226820272961527,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,ITUB4.SA,244,0.6963277730593745,0.6935876698156458,0.39350767695073824,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,JPM,245,0.6902977632393659,0.6891846542417914,0.16125055836063348,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,MSFT,245,0.6915981652888994,0.6865889152949468,0.7243006481748083,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,NVDA,245,0.6816946142054771,0.683858275092839,-0.3173944523360721,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,PETR4.SA,244,0.6965085045430426,0.6970826469197788,-0.08243149552250333,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,SPY,245,0.6805992644337394,0.6876543984944499,-1.0366061836079632,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,VALE3.SA,244,0.689519782957951,0.6964187281491147,-1.0005434741216626,2024-09-16,2025-09-08
classification,1,logistic,logistic,4,WEGE3.SA,244,0.6920246720668252,0.6950331316552139,-0.4347329957765117,2024-09-16,2025-09-08
classification,1,logistic,logistic,5,AAPL,247,0.6948807964844436,0.6933459373877665,0.22088092007179477,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,BOVA11.SA,243,0.6930287102271722,0.6898286853483967,0.46174492218749624,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,ITUB4.SA,245,0.6904822652729641,0.69073697333595,-0.0368884294059594,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,JPM,246,0.6960703634106987,0.6915895551879594,0.6437292058785071,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,MSFT,247,0.7114786773544477,0.6969587976064802,2.0408032187216136,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,NVDA,247,0.6924573570650079,0.6923295919125407,0.01845097769033557,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,PETR4.SA,245,0.6884754964856031,0.6890832777392334,-0.08827928615219305,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,SPY,247,0.6938664025135725,0.6912594496567914,0.37571394829569327,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,VALE3.SA,245,0.6895115359022053,0.6879826357808752,0.22173669934754495,2025-09-09,2026-09-01
classification,1,logistic,logistic,5,WEGE3.SA,245,0.6986748753942782,0.6928199402835035,0.8380056757401867,2025-09-09,2026-09-01
regression,5,ridge,ridge,1,AAPL,245,0.0445547738234093,0.044317009280211705,0.5336454947341015,2021-10-07,2022-09-27
