ticker,task,horizon,local_model,global_model,n,local_primary,global_primary,global_improvement_vs_local_pct,local_rmse,local_mae,local_directional_accuracy,global_rmse,global_mae,global_directional_accuracy,criterion,statistic,pvalue_two_sided,pvalue_global_better,hac_lags,qvalue_global_better,local_log_loss,local_brier,local_accuracy,global_log_loss,global_brier,global_accuracy
SPY,regression,5,ridge,ridge,1226,0.022989329007628824,0.022993708691242058,-0.019050941468456525,0.022989329007628824,0.017294805054377242,0.5415986949429038,0.022993708691242058,0.017199950213428843,0.5864600326264274,mse,0.01928015369540805,0.9846176160434841,0.507691191978258,4,0.507691191978258,,,,,,
VALE3.SA,regression,5,ridge,ridge,1218,0.04248828022364923,0.04220614418015219,0.6640326273784931,0.04248828022364923,0.03239687641123573,0.5262725779967159,0.04220614418015219,0.03219646382908756,0.5443349753694581,mse,-1.004004883855072,0.31537625954785775,0.15768812977392888,4,0.1971101622174111,,,,,,
WEGE3.SA,regression,5,ridge,ridge,1218,0.04262674511169031,0.04222242380063165,0.9485155622350644,0.04262674511169031,0.03318790874221574,0.4827586206896552,0.04222242380063165,0.03272521261609987,0.5,mse,-1.249238692489966,0.21157778391640703,0.10578889195820351,4,0.17631481993033918,,,,,,
AAPL,classification,5,logistic,logistic,1226,0.700810305631396,0.6905166490193694,1.468822094839566,,,,,,,log_loss,-1.9137572226052817,0.05565118368644195,0.027825591843220976,4,0.13912795921610488,0.700810305631396,0.25340314936113584,0.5424143556280587,0.6905166490193694,0.24865184615567354,0.5513866231647635
BOVA11.SA,classification,5,logistic,logistic,1217,0.6992285568344201,0.6990836411539386,0.02072508038538088,,,,,,,log_loss,-0.034507807508864036,0.9724722165658513,0.4862361082829256,4,0.4862361082829256,0.6992285568344201,0.25290035691290974,0.5225965488907148,0.6990836411539386,0.25292102732667593,0.5168447000821693
ITUB4.SA,classification,5,logistic,logistic,1219,0.6982037695505608,0.6910207323122728,1.0287880918935508,,,,,,,log_loss,-1.1745958495164635,0.2401564445983826,0.1200782222991913,4,0.2401564445983826,0.6982037695505608,0.25246450285916644,0.5094339622641509,0.6910207323122728,0.24890821537942254,0.5463494667760459
JPM,classification,5,logistic,logistic,1225,0.6917557758098685,0.6817118758518254,1.451943056967509,,,,,,,log_loss,-1.5629850733739472,0.11805610575754288,0.0590280528787715,4,0.16290784059300914,0.6917557758098685,0.24924666099103265,0.5453061224489796,0.6817118758518254,0.24427038657203143,0.5877551020408164
MSFT,classification,5,logistic,logistic,1226,0.7027423183764663,0.6887089869097531,1.9969384367137757,,,,,,,log_loss,-2.874249764455378,0.00404988553444996,0.00202494276722498,4,0.020249427672249798,0.7027423183764663,0.2541051375670068,0.5497553017944535,0.6887089869097531,0.24776908727698893,0.5562805872756933
NVDA,classification,5,logistic,logistic,1226,0.6917848450648664,0.6839289762758158,1.135594230647524,,,,,,,log_loss,-1.512816515574309,0.1303262724744072,0.06516313623720366,4,0.16290784059300914,0.6917848450648664,0.24922134137925478,0.5448613376835236,0.6839289762758158,0.24537555140671966,0.5774877650897227
PETR4.SA,classification,5,logistic,logistic,1219,0.6872582460595092,0.6867922916908166,0.06779902189086742,,,,,,,log_loss,-0.08026376978467958,0.9360274727377311,0.46801373636886556,4,0.4862361082829256,0.6872582460595092,0.24697537943610373,0.5529122231337161,0.6867922916908166,0.24681526050718408,0.5635767022149303
SPY,classification,5,logistic,logistic,1226,0.6833137357063673,0.6779444726143619,0.7857683537496961,,,,,,,log_loss,-0.8696593052870657,0.3844866176655448,0.19224330883277246,4,0.3204055147212874,0.6833137357063673,0.2448335554749401,0.5954323001631321,0.6779444726143619,0.2424226451146172,0.5938009787928222
VALE3.SA,classification,5,logistic,logistic,1218,0.695543279081501,0.6942451798769061,0.18663097518663355,,,,,,,log_loss,-0.24540177504370114,0.8061453547407484,0.4030726773703742,4,0.4862361082829256,0.695543279081501,0.25113850836043716,0.5246305418719212,0.6942451798769061,0.25050868614892596,0.5336617405582923
WEGE3.SA,classification,5,logistic,logistic,1218,0.7005643866489433,0.7001800297573276,0.05486389244736875,,,,,,,log_loss,-0.15360377300848216,0.8779221618186541,0.43896108090932706,4,0.4862361082829256,0.7005643866489433,0.2536136517513541,0.5123152709359606,0.7001800297573276,0.25345203631336377,0.5188834154351396
